frame,x,y,visible
30,861,385,1
31,858,333,1
32,861,327,1
33,864,321,1
34,867,315,1
35,871,306,1
36,876,297,1
37,878,294,1
38,881,292,1
39,883,289,1
40,886,287,1
41,889,285,1
42,892,288,1
43,896,292,1
44,900,295,1
45,904,299,1
46,907,306,1
47,910,314,1
48,914,322,1
49,918,334,1
50,922,347,1
51,925,359,1
52,928,372,1
53,931,384,1
54,935,397,1
55,936,390,1
56,938,383,1
57,940,377,1
58,939,359,1
59,942,344,1
60,942,330,1
61,943,316,1
62,942,336,1
63,940,355,1
64,938,367,1
65,936,364,1
66,933,357,1
67,930,350,1
68,928,343,1
69,926,341,1
70,924,340,1
71,922,339,1
72,921,338,1
73,918,341,1
74,916,344,1
75,914,348,1
76,912,353,1
77,910,358,1
78,908,364,1
79,906,377,1
80,904,391,1
81,900,388,1
82,896,386,1
83,892,384,1
84,889,385,1
85,887,386,1
86,885,387,1
87,883,388,1
88,881,389,1
89,879,391,1
90,878,391,1
91,877,392,1
92,876,393,1
93,875,394,1
94,874,395,1
95,873,396,1
96,872,397,1
97,871,398,1
98,869,398,1
99,867,399,1
100,865,400,1
101,863,400,1
102,862,401,1
103,860,402,1
104,858,402,1
105,856,403,1
106,854,404,1
107,853,405,1
108,851,405,1
109,849,406,1
110,848,406,1
111,846,407,1
112,845,407,1
113,843,408,1
114,841,408,1
115,840,409,1
116,838,409,1
117,837,410,1
118,835,411,1
119,834,411,1
120,832,412,1
121,830,412,1
122,829,413,1
123,827,413,1
124,826,414,1
125,824,414,1
126,823,415,1
127,821,416,1
128,819,416,1
129,818,417,1
130,816,417,1
131,815,418,1
132,813,418,1
133,811,419,1
134,810,419,1
135,808,420,1
136,807,421,1
137,805,421,1
138,804,422,1
139,802,422,1
140,800,423,1
141,799,423,1
142,797,424,1
143,796,424,1
144,794,425,1
145,793,426,1
146,790,426,1
147,788,427,1
148,786,428,1
149,784,429,1
150,781,429,1
151,779,430,1
152,777,431,1
153,775,432,1
154,773,433,1
155,770,433,1
156,768,434,1
157,766,435,1
158,764,436,1
159,762,437,1
160,759,437,1
161,757,438,1
162,755,439,1
163,753,440,1
164,751,441,1
165,748,441,1
166,746,442,1
167,744,443,1
168,742,444,1
169,740,445,1
170,740,445,1
171,740,445,1
172,740,445,1
173,740,445,1
174,740,445,1
175,740,445,1
176,740,445,1
177,740,445,1
178,740,445,1
179,740,445,1
180,740,445,1
181,740,445,1
182,740,445,1
183,740,445,1
184,740,445,1
185,740,445,1
186,740,445,1
187,740,445,1
188,740,445,1
189,740,445,1
190,740,445,1
191,740,445,1
192,740,445,1
193,740,445,1
194,740,445,1
195,740,445,1
196,740,445,1
197,740,445,1
198,740,445,1
199,740,445,1
200,740,445,1
201,740,445,1
202,740,445,1
203,740,445,1
204,740,445,1
205,740,445,1
206,740,445,1
207,740,445,1
208,740,445,1
