frame,x,y,visible
59,815,370,1
60,819,337,1
61,820,331,1
62,822,326,1
63,824,323,1
64,826,320,1
65,828,317,1
66,828,319,1
67,829,321,1
68,830,323,1
69,831,325,1
70,832,327,1
71,833,329,1
72,834,335,1
73,835,341,1
74,837,348,1
75,838,357,1
76,839,366,1
77,840,376,1
78,841,371,1
79,843,366,1
80,845,362,1
81,846,352,1
82,847,342,1
83,848,332,1
84,850,323,1
85,916,331,1
86,914,323,1
87,912,315,1
88,910,307,1
89,908,303,1
90,907,299,1
91,906,296,1
92,904,293,1
93,903,291,1
94,902,289,1
95,901,288,1
96,900,287,1
97,899,286,1
98,898,285,1
99,897,283,1
100,896,282,1
101,895,281,1
102,894,280,1
103,894,279,1
104,891,281,1
105,889,283,1
106,887,285,1
107,885,287,1
108,884,291,1
109,884,296,1
110,884,301,1
111,883,306,1
112,882,311,1
113,881,317,1
114,880,322,1
115,879,327,1
116,879,333,1
117,875,345,1
118,872,358,1
119,869,377,1
120,866,396,1
121,866,392,1
122,866,389,1
123,867,386,1
124,868,387,1
125,870,388,1
126,871,389,1
127,873,390,1
128,874,391,1
129,876,392,1
130,877,393,1
131,879,394,1
132,881,395,1
133,881,396,1
134,882,398,1
135,883,399,1
136,884,401,1
137,885,403,1
138,885,404,1
139,886,406,1
140,887,407,1
141,888,409,1
142,889,411,1
143,889,412,1
144,890,414,1
145,891,415,1
146,892,417,1
147,893,419,1
148,893,419,1
149,894,420,1
150,894,421,1
151,895,422,1
152,896,423,1
153,896,423,1
154,897,424,1
155,897,425,1
156,898,426,1
157,899,427,1
158,899,427,1
159,900,428,1
160,900,429,1
161,901,430,1
162,902,431,1
163,902,431,1
164,902,431,1
165,902,431,1
166,902,431,1
167,902,431,1
168,902,431,1
169,902,431,1
170,902,431,1
171,902,431,1
172,902,431,1
173,902,431,1
174,902,431,1
175,902,431,1
176,902,431,1
177,902,431,1
178,902,431,1
179,902,431,1
180,902,431,1
181,902,431,1
182,902,431,1
183,902,431,1
184,902,431,1
185,902,431,1
186,902,431,1
187,902,431,1
188,902,431,1
189,902,431,1
190,902,431,1
191,902,431,1
192,902,431,1
193,902,431,1
194,902,431,1
195,902,431,1
196,902,431,1
197,902,431,1
198,902,431,1
199,902,431,1
200,902,431,1
201,902,431,1
202,902,431,1
203,902,431,1
204,902,431,1
205,902,431,1
206,902,431,1
207,902,431,1
208,902,431,1
209,902,431,1
210,902,431,1
211,902,431,1
212,902,431,1
213,902,431,1
214,902,431,1
215,902,431,1
216,902,431,1
217,902,431,1
218,902,431,1
219,902,431,1
220,902,431,1
221,902,431,1
222,902,431,1
223,902,431,1
224,902,431,1
225,902,431,1
226,902,431,1
227,902,431,1
228,902,431,1
229,902,431,1
230,902,431,1
231,902,431,1
232,902,431,1
233,902,431,1
234,902,431,1
235,902,431,1
236,902,431,1
237,902,431,1
238,902,431,1
239,902,431,1
240,902,431,1
241,902,431,1
242,902,431,1
243,902,431,1
244,902,431,1
245,902,431,1
246,902,431,1
247,902,431,1
248,902,431,1
249,902,431,1
250,902,431,1
251,902,431,1
252,902,431,1
253,902,431,1
254,902,431,1
255,902,431,1
256,902,431,1
257,902,431,1
258,902,431,1
259,902,431,1
260,902,431,1
261,902,431,1
262,902,431,1
263,902,431,1
264,902,431,1
265,902,431,1
266,902,431,1
267,902,431,1
268,902,431,1
269,902,431,1
270,902,431,1
271,902,431,1
272,902,431,1
273,902,431,1
