frame,x,y,visible
50,767,305,1
51,767,295,1
52,767,286,1
53,768,281,1
54,770,276,1
55,771,271,1
56,773,266,1
57,774,264,1
58,776,263,1
59,777,261,1
60,779,260,1
61,781,259,1
62,782,257,1
63,784,256,1
64,786,255,1
65,786,257,1
66,787,260,1
67,788,263,1
68,789,266,1
69,789,271,1
70,789,276,1
71,789,281,1
72,789,286,1
73,790,291,1
74,791,302,1
75,792,313,1
76,793,324,1
77,795,336,1
78,794,341,1
79,793,346,1
80,793,352,1
81,792,357,1
82,791,362,1
83,791,368,1
84,791,382,1
85,792,396,1
86,791,406,1
87,790,417,1
88,788,432,1
89,787,447,1
90,786,463,1
91,786,480,1
92,786,476,1
93,786,473,1
94,786,470,1
95,786,466,1
96,786,463,1
97,786,460,1
98,788,438,1
99,787,428,1
100,786,418,1
101,788,407,1
102,790,396,1
103,789,392,1
104,789,389,1
105,788,385,1
106,788,382,1
107,773,375,1
108,758,369,1
109,743,362,1
110,728,356,1
111,709,351,1
112,691,346,1
113,674,341,1
114,657,336,1
115,646,336,1
116,635,336,1
117,624,336,1
118,614,336,1
119,595,332,1
120,576,328,1
121,540,332,1
122,501,335,1
123,468,347,1
124,455,348,1
125,442,350,1
126,429,352,1
127,395,359,1
128,376,368,1
129,358,378,1
130,319,395,1
131,284,416,1
132,284,416,1
133,284,416,1
134,284,416,1
135,284,416,1
136,284,416,1
137,284,416,1
138,284,416,1
139,284,416,1
140,284,416,1
141,284,416,1
142,284,416,1
143,284,416,1
144,284,416,1
145,284,416,1
146,284,416,1
147,284,416,1
148,284,416,1
149,284,416,1
150,284,416,1
151,284,416,1
152,284,416,1
153,284,416,1
154,284,416,1
155,284,416,1
156,284,416,1
157,284,416,1
158,284,416,1
159,284,416,1
160,284,416,1
161,284,416,1
162,284,416,1
163,284,416,1
164,284,416,1
165,284,416,1
166,284,416,1
167,284,416,1
168,284,416,1
169,284,416,1
170,284,416,1
171,284,416,1
172,284,416,1
173,284,416,1
174,284,416,1
175,284,416,1
176,284,416,1
177,284,416,1
178,284,416,1
179,284,416,1
180,284,416,1
181,284,416,1
182,284,416,1
183,284,416,1
184,284,416,1
185,284,416,1
186,284,416,1
187,284,416,1
188,284,416,1
189,284,416,1
190,284,416,1
191,284,416,1
192,284,416,1
193,284,416,1
194,284,416,1
195,284,416,1
